person_id,person_name,subtitle,role,organisation_name,organisation_kind,area,start_date,end_date
378,RAFIU ADEBAYO IBRAHIM,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
306,MOHAMMED OGOSHI ONAWO,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
53,AISHA AHMED DAHIRU,"",Chairman,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
55,AJAGBE ADETUNJI TAJUDEE,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
104,BABA BUKAR MACHINAMA,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
109,BAMIDELE AYODELE FAPARUSI,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
133,CHINENYE FERDINARD IKE,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
136,CHRIS EMEKA IFEANYI AZUBOGU,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
149,DANGALADIMA UMAR SANI,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
157,DAWARI IBIETELA GEORGE,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
169,ENEKOROGHA PENAWEI FRANCIS,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
200,GWANI LUCAS GIDE,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
204,HAMZA DALHAT,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
207,HARUNA MANU,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
226,IBRAHIM MOHAMMED GARBA,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
234,INI AKPAN UDOKA,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
235,INNOCENT ZEITET TIRSEL,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
247,ISMAIL INAH HUSSAIN,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
260,KALGO SANI UMAR MOHAMMED,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
305,MOHAMMED JATAU AUWAL,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
313,MORUF AKINDERU FATAI,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
316,MUDASHIRU KAMIL AKINLABI,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
331,NADU SOALABOYE KARIB,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
79,AMINU PUNWET JONATHAN,"",Vice-Chairman,Civil Societies and Development Partners Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
411,SUARAU OLUWATOYIN ISIAKA,"",Committee Member,Civil Societies and Development Partners Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
7,ABDUL - KABIRU ABAYOMI AYEOLA,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
21,ABIMBOLA OLUWAFEMI DARAMOLA,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
30,ADAMU ABUNABO HASSAN,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
55,AJAGBE ADETUNJI TAJUDEE,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
79,AMINU PUNWET JONATHAN,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
91,ARUA ARUNSI,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
118,BENJAMIN ITYOKUMBA ABOHO,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
207,HARUNA MANU,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
260,KALGO SANI UMAR MOHAMMED,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
296,MATTHEW M. OMEGARA,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
314,MOSHOOD ABIODUN BAKARE,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
316,MUDASHIRU KAMIL AKINLABI,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
341,NOSAKHARE ISAAC OSAHON,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
373,PETER GUMTHA BIYE,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
407,SOKONTE HUTTIN DAVIES,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
463,YUSUF SHITU GALAMBI,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
355,OKWURU CHUKWUEMEKA TOBIAS,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
