person_id,person_name,start_date,end_date,ptm_id,party_id,term_id,id,party,party_subtitle,party_role,organisation_name,organisation_subtitle,organisation_role,area
52,AHMED YUSUF TIJANI,2011-05-29,2015-05-29,0,2910,2011,3213,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Okene/Ogori-Magogo
70,ALI YAKUBU,2011-05-29,2015-05-29,0,2919,2011,3226,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Nangere/Potiskum
47,AHMAD AUDI ZAREWA,2011-05-29,2013-07-30,0,2797,2011,3208,All Nigeria Peoples Party,"",Member,House of Representatives,"",Federal Representative,Karaye/Rogo
47,AHMAD AUDI ZAREWA,2013-07-31,2015-05-29,0,5652,2011,3208,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Karaye/Rogo
91,ARUA ARUNSI,2011-05-29,2015-05-29,0,2930,2011,3239,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Arochukwu/Ohafia
198,GONI BUKAR LAWA,2011-05-29,2013-07-30,0,2803,2011,3321,All Nigeria Peoples Party,"",Member,House of Representatives,"",Federal Representative,Bursari/Geidam/Yunusari
198,GONI BUKAR LAWA,2013-07-31,2015-05-29,0,5658,2011,3321,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Bursari/Geidam/Yunusari
837,SHIDDI USMAN DANJUMA,1979-05-29,1983-05-29,0,6618,1979,6619,All Progressives Grand Alliance,"",Member,House of Representatives,"",Federal Representative,Ibi/Wukari
837,SHIDDI USMAN DANJUMA,1983-05-29,1992-05-29,1,6618,1983,6619,All Progressives Grand Alliance,"",Member,House of Representatives,"",Federal Representative,Ibi/Wukari
837,SHIDDI USMAN DANJUMA,1992-05-29,1998-05-29,2,6618,1992,6619,All Progressives Grand Alliance,"",Member,House of Representatives,"",Federal Representative,Ibi/Wukari
837,SHIDDI USMAN DANJUMA,1998-05-29,1999-05-29,3,6618,1998,6619,All Progressives Grand Alliance,"",Member,House of Representatives,"",Federal Representative,Ibi/Wukari
837,SHIDDI USMAN DANJUMA,1999-05-29,2003-05-29,4,6618,1999,6619,All Progressives Grand Alliance,"",Member,House of Representatives,"",Federal Representative,Ibi/Wukari
837,SHIDDI USMAN DANJUMA,2003-05-29,2007-05-29,5,6618,2003,6619,All Progressives Grand Alliance,"",Member,House of Representatives,"",Federal Representative,Ibi/Wukari
